src_n,ra_deg,dec_deg,spin period,perr,est. period,sep,name,mean I,stdev I,max I,min I,I range,mean V,stdev V,max V,min V,V range,est. period method,references,best period,trusted new period,Raj superorbital,Raj superorbital err,best superorbital,other period,type,interesting flag,interesting note,type note,aperiodic,redder when brighter,I V-I corr,I V-I slope,I V-I int,V-I transition,mean abs I vs. V-I residual,mean abs faint residual,mean abs bright residual,residual slope diff,bright res monotonic frac,faint slope,faint int,bright slope,bright int,0.95 slope,0.95 int,5 bright slope,5 bright int,X-ray behavior,follow-up note,I skew,I kurtosis,V skew,V kurtosis,best auto det pd,Part,I IQR,pf period,pf amp,pf phase diff,pf phase max,pf phase min,pf diff mean,pf mean,pf skew ,pf kurtosis,pf symm sum,pf mean err,det stdev I,base num,calibration flag,stdev ratio,sig stdev ratio,total days,# dips/flares,days / dip/flare,loop metric
12,12.327084,-73.20028,9.13,40.0,77.2,0.0,SXP 9.13,16.2294267806268,0.084720903757634,16.469,16.012,0.457000000000001,16.5377870967742,0.0311576609119934,16.59,16.431,0.158999999999999,X-ray,Galache 2008,,,1886.0,35.0,,,3,,,,,check,-0.932428467980274,-1.11202352522905,16.5724011878326,,0.0236945704017723,0.020066543506493,0.0262824225148247,0.253623172621414,0.59375,-1.17928464062954,16.591067143673502,-0.884858166588884,16.4850247399758,-0.721427566922718,16.3165124193514,1.14759360765145,15.5490225046456,,put 20.1 best period at some point,-0.287022088150968,-0.348481582747921,-1.02315989707833,0.850715178741491,80.847780683192,1.0,0.127999999999997,80.847780683192,0.010207618120499999,0.8125,0.71875,0.90625,0.00512670463909948,16.2283705404465,0.151684523284755,-0.601740037096988,0.0033580393876684,0.0012089637091427699,0.0132054900975224,-0.00599999999999668,0.0,0.15587050552836498,0.134910170572456,8261.19757,0.0,0.0,1.18104658809482
13,16.176208,-72.90122,11.48,0.6,36.3,0.530289217275099,,15.1519284313726,0.265656312272983,15.844,14.757,1.087,15.185067961164998,0.193491038007054,15.569,14.939,0.630000000000001,X-ray,,,,,,,,2,,,,,yes,-0.92223589826344,-2.2907842295367797,15.191075433720501,,0.0982203396564992,0.0350258210960281,0.0722918264833827,0.575402148959038,0.642857142857143,-1.92915567655334,15.3100988057794,-1.06864545664812,15.0741667384845,-0.45636991502027,14.8656489923006,0.0202655961199924,14.7831105128413,,,0.910085918276414,0.160328322656198,0.659728783700556,-0.877683821584253,36.2358842404169,1.0,0.349,36.2358842404169,0.0190411099195007,0.625,0.53125,0.90625,0.0062668851827703,15.1503040908549,-0.671267188954764,-0.088804350490133,0.00228217407070628,0.00245643155819128,0.0289750941067807,0.417,0.0,0.109069849908202,0.0737282284626379,6524.1569,4.0,1631.039225,2.07813698296284
14,29.316668,-72.97578,11.58,3.8,35.6,0.0,,14.8292771317829,0.314851384192935,15.335,14.338,0.9970000000000021,14.6430322580645,0.132116879796486,14.934,14.387,0.546999999999999,,,,,,,,,2,1.0,both faint + bright base? and quiescent for 1000 days; doesn’t have a lot of coverage,re-classified; to do: check type,,yes,-0.959241537639287,-2.18602569872591,14.549100456066402,,0.0495436395581955,0.0112842046705484,0.0511151578646692,0.334131497015827,0.576923076923077,-1.64868758741474,14.704042994567699,-2.39544357580319,14.5391462541028,0.0665321773966913,14.417972003915901,-0.596171880734989,14.496408840741902,,,0.366844704291507,-1.43006055490796,0.682197242958756,-0.103726893013892,35.619608481429,1.0,0.648,35.619608481429,0.0380437418111406,0.375,0.40625,0.03125,0.0154793781526131,14.8228368984288,-0.604135665938887,-0.823492424355268,0.00273555125884555,0.00491314453152649,0.0319498354015975,0.239000000000001,0.0,0.101475924851006,0.0757201524104017,3348.87902,1.0,3348.87902,1.7721958163448
15,12.058422,-73.367744,11.866,0.5,0.0,0.946706615120169,,15.0420862385321,0.301426783336788,15.326,14.341,0.985000000000001,14.9004,0.219198240347473,15.143,14.436,0.707000000000001,,,,,,,,,1,,,,,yes,-0.937241448325616,-2.52629267094798,14.7576119098379,,0.0913489655659312,0.0483861228226846,0.09942609550728601,0.31971698018934397,0.729166666666667,-2.01899425741189,14.8697836411223,-1.28235505406668,14.6452114857516,0.128231660185708,14.371801852099301,0.551250337479587,14.329790242674198,,,-0.815679276209365,-0.746678188503528,-0.704386302950294,-0.918113144293586,145.974854557916,1.0,0.48150000000000104,145.974854557916,0.0301762622567701,0.625,0.09375,0.46875,0.0146655837806258,15.0385652784269,-0.043724256971103,-1.3584210279426,0.0133093975807971,0.00256443751584778,0.0292519177385004,-0.7130000000000011,0.0,0.0970448525332829,0.0674389908236475,8105.93956,7.0,1157.99136571429,2.1420451914005
16,13.058333,-73.32166,15.3,1.0,74.51,0.357691503166213,SXP 15.3,14.5294049114792,0.170322826341356,15.035,14.325,0.710000000000001,14.776860000000001,0.173298548945647,15.16,14.566,0.593999999999999,,Galache 2008: 28,,,1515.0,23.0,,,2,,,,,check,-0.283926145445467,-0.705438321359142,14.712418893555201,,0.143524245544309,0.0218658608430721,0.0599694693053945,0.746095230671864,0.652892561983471,-1.60734380121336,15.2166894131461,-0.458367483213032,14.582418725683201,-0.0879340070970584,14.4090881275044,-0.0344950492820951,14.3836724388225,,,1.37426492608471,0.875169419964707,1.04132651928548,-0.489576182036042,74.29517259722779,1.0,0.16,74.29517259722779,0.0115088932316674,0.375,0.65625,0.28125,0.00508250077281769,14.5279413980429,-0.11241569671657599,-1.14030662214439,0.00342122388351106,0.00138453589472659,0.015082600351485,0.42100000000000093,0.0,0.0885530182622551,0.0673615613117172,8261.18118,1.0,8261.18118,2.2860992093820496
17,12.23147,-73.82957,15.64,0.56,36.43182,1.59978779361066,,14.839337527757198,0.168979704998014,15.427,14.462,0.965,14.876855769230799,0.105590684527678,15.204,14.722,0.48200000000000104,,,,,,,,,2,,,,,yes,-0.974333360752438,-2.26634007827238,14.937649594889901,,0.023730829117631,0.0145309756863926,0.0192325103120837,0.0821931535216679,0.580645161290323,-1.81423129111154,15.046103081508699,-1.60159836503274,14.8854704790389,24.0647416720604,7.274358577486169,-0.554465307121109,14.716484736495099,,,1.78808537370078,2.48490033762925,2.07453936653682,3.35651349319839,36.4260290552758,1.0,0.122500000000001,36.4260290552758,0.0300390402658675,0.625,0.15625,0.53125,0.0105950727024116,14.8350979493482,-1.10433854534422,0.552302418965403,0.004437417709239,0.0018093400316974801,0.0229561161292528,0.41799999999999904,0.0,0.135851320899883,0.0928869034175236,6640.8371,3.0,2213.61236666667,0.957446568646792
19,12.29786,-72.82671,18.37,0.5,17.79,1.09994115086326,,15.489013501350101,0.395594075012443,16.005,14.785,1.22,15.643814814814801,0.251160865823603,16.064,15.200999999999999,0.863,new X-ray,Galache 2008: 17.7,,,,,,,1+5,1.0,possible transition between type 1 and 5,,,yes,-0.963495265705452,-2.79978106390689,16.091823657908698,,0.0747369183336156,0.0847888345851069,0.0627887742718784,-0.11180568842763199,0.590909090909091,-1.93021322903667,16.0390287758989,-2.30402872209215,15.911703709225801,-0.464386545111871,15.0020953987908,-0.736566035811679,15.115320931981302,,,-0.142232637791435,-1.53043411395129,0.38751880090515795,-1.09193083405868,17.911657366522398,2.0,0.7515,17.911657366522398,0.0165326222340685,0.6875,0.03125,0.34375,0.00612682104201867,15.481921610511598,-0.597940229682279,-0.983185805417813,0.0013765345720995802,0.00414091513039525,0.0710808516042794,-0.0579999999999998,0.0,0.17968128466545802,0.11346690743205701,4486.38278,0.0,0.0,0.345704455309896
20,19.41848,-73.51407,22.07,1.34,75.97,1.30352558709247,,14.054957042957001,0.0400064824023925,14.189,13.987,0.20199999999999999,14.218081632653101,0.0152768154800662,14.253,14.191,0.0619999999999994,,,,,,,,,3,,re-classified 4/15/21,compare 2 variabilities to 4 and 7,,check,-0.870512048836766,-1.36732927343637,14.2759446979779,,0.011376209371736001,0.00809078469337631,0.004456342859050839,-0.147545614705139,0.516129032258065,-0.460353131980194,14.1592035566448,-0.333344469954987,14.0964473363258,36.7154742224255,7.011515525483789,-0.236039916902637,14.0713903054201,,,0.79009033669505,-0.320876352609405,0.42391021610709795,-0.69566863077247,83.35673657834229,1.0,0.0580000000000016,83.35673657834229,0.0061166780563599605,0.375,0.84375,0.46875,0.0029972368850934602,14.054560413155599,0.12874745504774499,-0.769679047513952,0.000564395437338661,0.0009459977451300539,0.00767460599180125,0.0679999999999996,0.0,0.19183406115560603,0.178564885574151,6625.8528,0.0,0.0,0.494181852622565
21,12.059113499999999,-73.16776,25.55,0.63,22.5,0.382773434604446,,15.7034773379231,0.0843713034245951,15.931,15.511,0.42,15.845253333333302,0.126814257172536,16.088,15.599,0.48900000000000104,,,,,,,,,3,1.0,re-classified 4/15/21,,,no,0.674200202224339,1.03372591857368,15.590205674981402,,0.0458376524679133,0.0296852135707669,0.0353205932086844,0.381725155340046,0.548387096774194,0.725365288311721,15.665491997225098,-0.233558225014155,15.6577798851611,47.3845730861856,7.75566257831208,-0.0925893616786792,15.5520726718251,,,0.204241079806522,-0.610342426984011,0.163061971319405,-1.10556593227102,22.5094514752573,1.0,0.11900000000000001,22.5094514752573,0.0314458157683504,0.125,0.15625,0.03125,0.0143963565902009,15.7013782519376,-0.0711568713894341,-0.348019241340496,0.005001193929362,0.0022037257066409603,0.0259829361690231,0.0220000000000002,0.0,0.30795940224207596,0.271558225592714,8105.93956,0.0,0.0,1.24555548148959
22,17.785799,-73.279465,31.03,0.73,90.5,0.235024740815002,,15.284733952049502,0.0590959637436011,15.429,15.113,0.316000000000001,15.5014711538462,0.0255470744715174,15.576,15.404,0.172000000000001,,,,,,,,,3,,,,,check,-0.9136655015697079,-1.26884415630227,15.5631776660304,,0.0153702082381682,0.0141441374320571,0.0178217565673476,0.0101472507717962,0.513513513513514,-1.0910811752901701,15.529930565731899,-0.9145578762215341,15.4600980243106,22.7181313203514,7.56206757067642,-1.09210040151133,15.497037471913199,,,-0.27556497402339397,-0.613649263568635,0.115542414046369,2.19263008389291,90.44165736361559,1.0,0.0820000000000007,90.44165736361559,0.0255713659675472,0.8125,0.90625,0.09375,0.00734616979801617,15.2812707883896,-1.07039025472456,-0.257764277174237,0.00790810893535771,0.00120237257903486,0.0133767975074262,-0.0280000000000005,0.0,0.226357210544259,0.170529263806076,6622.85459,0.0,0.0,0.772866193436448
23,13.480082999999999,-72.44603,46.63,0.6,137.36,0.647529103593992,SXP 46.6,14.6861899224806,0.0938243223494584,15.038,14.489,0.549,14.7785724637681,0.0570673245527684,15.041,14.712,0.329000000000001,X-ray,Galache 2008: 137,,,,,,,2,,,,,yes,-0.927351391743541,-2.17897897118791,14.8852887011324,,0.0192868446554112,0.0466418659257119,0.0106366181233652,-0.196678764121859,0.592,-5.744961346568309,14.993137627313398,-1.6969125059688401,14.8330645911829,-0.72722061196627,14.6774641706634,-0.24857522889019001,14.6028978576295,,,1.22555044524251,1.47849972440173,2.92719370038422,10.507369726303999,137.916600923525,1.0,0.10399999999999901,137.916600923525,0.0288040558363285,0.5,0.09375,0.59375,0.0053929671118246895,14.682610074730198,-2.17151398273466,3.4686181836985694,0.00331894118345361,0.0011912039787794302,0.0135098314592206,0.232000000000001,0.0,0.14399071712878303,0.0991346257383512,6640.84271,1.0,6640.84271,0.036856365348412704
24,13.734498,-72.44646,59.07,0.59,62.1,1.09032907177422,SXP 59,15.332252901649401,0.17732792910387,15.832,15.042,0.790000000000001,15.3947638888889,0.0983651068801494,15.635,15.251,0.384,,Galache 2008: 122 (double est.?),,,,,,,2,,,,,yes,-0.966495339522439,-1.98081531225583,15.4566136418498,,0.0372945094801713,0.0164353438843375,0.0412357402028961,0.173644625347693,0.576923076923077,-1.6247854807845301,15.493533283306999,-1.75056355056734,15.4246010037782,-1.26154170323756,15.335244169179699,-1.1566590923228701,15.3132966196499,,,0.5493164721806,-0.272308828841904,0.336276499806837,-0.858390965630448,60.913413133232496,1.0,0.275,60.913413133232496,0.0108312040968919,0.4375,0.34375,0.90625,0.0048052718727194,15.330733715622499,-0.174056631691677,-0.890794949713929,9.3303337361255e-05,0.00125323816858274,0.013062191811545,0.219999999999999,0.0,0.0736612212050016,0.0625863033515896,8100.808209999999,3.0,2700.26940333333,1.3655308446562
25,16.802626,-72.59272,65.78,0.87,110.6,0.29591927780473,,15.915776709401698,0.0555982069080846,16.604,15.742,0.862,15.9276504854369,0.117472468060357,16.09,15.732999999999999,0.356999999999999,,,,,,,,,5,,,calibration issue or real change?,,check,-0.30830453118305,-0.107940974030645,15.9096278653442,,0.0851167086589728,0.0245888597581243,0.0317352549977523,-0.000769217861793847,0.576271186440678,-1.45998893418265,16.0242709323069,0.60213095500261,15.769542299406,-0.182349639078137,15.7450765636625,-0.10643447510287801,15.7396715964998,,,-0.0908701098884135,-0.809076442206644,-0.623311217976447,-1.27350061595586,110.84611536875799,1.0,0.22725000000000198,110.84611536875799,0.10249175120479699,0.125,0.21875,0.09375,0.028246213051327,15.8827438984969,-1.63987221666401,2.12175288129522,0.0101820035924329,0.00393047421595098,0.042706867093055295,-0.0200000000000031,1.0,0.7681338925850371,0.576631822676278,8105.87523,0.0,0.0,0.901929042710261
26,12.263891000000001,-72.847824,74.67,0.62,33.38,0.181333576129748,SXP 74.7,16.6960780640125,0.0487454971486669,16.947,16.59,0.356999999999999,16.9124201680672,0.0482651109787068,17.126,16.842,0.284000000000003,,Galache 2008: 61.6,,,1220.0,64.0,,,3,,,,,check,-0.389215971641616,-0.43431949333463693,16.7904650962858,,0.0338517285768199,0.0229880891825999,0.0158940665233562,0.105104591292007,0.576086956521739,-0.520837479035581,16.8690467023714,-0.0681971656515943,16.6903158417471,31.889816672525896,8.30823529234023,-0.364729041752908,16.7155322372701,,,0.851739406703363,0.250392457809475,1.41829552361514,2.86967523747876,33.406866317139304,1.0,0.0599999999999987,33.406866317139304,0.0190279110613218,0.375,0.28125,0.90625,0.0074926266247479206,16.6942092514366,-0.48554028368380303,-1.03672074815289,0.0038089137043288306,0.00174181300735975,0.0169609270770137,0.0679999999999978,0.0,0.347948591544472,0.301600790498716,8261.19559,0.0,0.0,0.789920571746923
27,13.037084,-72.63416,82.4,0.6,362.3,0.333036283859333,SXP 82.4,15.1157956756757,0.292897691542678,15.556,14.696,0.859999999999999,15.276664974619301,0.200939921929415,15.571,14.976,0.594999999999999,new X-ray,Galache 2008: 362,,,,,,,1+2,1.0,both faint + bright base?,,,yes,-0.908655504241857,-2.31250890917546,15.548878379356502,,0.10565930317035699,0.0144917727192482,0.0761973052737202,0.740579722211026,0.629032258064516,-1.61018808667774,15.563798531143599,-0.71053388708403,15.0529283372546,-0.0961143411534286,14.7595364051315,0.045025384190755996,14.707410848254302,,,0.0790259736973214,-1.60247730848564,0.215940856960466,-1.55103966185071,326.153217075038,1.0,0.6,326.153217075038,0.289289227479278,0.5625,0.96875,0.40625,0.129905216711633,15.1205909073194,-0.230719179320179,-1.4374254019366801,0.133998181543717,0.0257484873845664,0.0117949579262904,0.124999999999998,0.0,0.0402698903639934,0.0341907491880254,8261.16397,0.0,0.0,2.61884245231221
28,12.737853999999999,-72.22597,91.12,0.52,88.3,0.917587410951392,SXP 91.1,14.766837704918,0.0255988259460188,14.931,14.689,0.241999999999999,15.0143125,0.0268407000110529,15.066,14.961,0.105,,Galache 2008: 117,,,,,,,5,,,,,check,-0.193845001407702,-0.2499412652029,14.830831902738302,,0.019184540405589,0.0103044743187221,0.0103585992164638,-0.0103919581522129,0.58974358974359,0.14860106280029,14.7500268897178,-0.200191443206131,14.7962585563077,27.3510474521462,7.3530795619022,-0.517808522650258,14.8490839276979,,,-0.27551966159716,0.829794787917015,0.12290824587779,-1.1230656803557,88.34353596130791,1.0,0.0360000000000014,88.34353596130791,0.0501114695552598,0.5625,0.09375,0.53125,0.0177584334028628,14.760239153384,-0.783282997760147,-0.812815886983075,0.00968779897461961,0.00136720553962832,0.0201257483994632,-0.0249999999999986,0.0,0.786198103065473,0.659672290759881,6640.838879999999,0.0,0.0,0.798621940613486
30,14.362833,-73.42208,101.16,0.83,21.95,0.0915777029844586,SXP 101,15.581513011152401,0.0472048137415597,15.682,15.413,0.26899999999999996,15.691752066115699,0.0289868254462294,15.773,15.617,0.155999999999999,,Galache 2008: 25.2,,,758.0,6.0,,,3,,re-classified from transition; but point out a bit of an outlier,,,check,-0.856518404091482,-1.39492383105717,15.7344244043853,,0.0208230795662596,0.0121271747008418,0.0166752376053308,-0.00928537074337543,0.548387096774194,-0.550785359660736,15.6625081328534,-1.2656480498234,15.693864152387302,0.13301047912816,15.4521362583354,0.18213424103292997,15.4435468526123,,,-1.05642413986302,0.360934501417279,-0.450235124910817,-0.0156162373573645,21.9575441570509,1.0,0.0510000000000002,21.9575441570509,0.0279642326408194,0.5,0.34375,0.84375,0.0116992670522584,15.5791793086241,-0.328509396323888,-1.12098060625716,0.00679252159041153,0.00132966816446602,0.0149491197847249,-0.093,0.0,0.316686341917784,0.277523376068897,6640.82816,0.0,0.0,0.8137784980763829
