src_n,ra_deg,dec_deg,spin period,perr,X-ray period,X-ray period error,est. period,Coe est. period,Coe eccentricity,Coe eccentricity err,sep,name,est. period method,best period,best superorbital,other period,period shape,big dip,orbital cont,superorbital cont,mult superorbital,Type II amp,note,I skew,I kurtosis,V skew,V kurtosis,best auto det pd,Part,I IQR,aperiodic quiescence,abs mean I vs. V-I residual,mean abs faint residual,mean abs bright residual,residual slope diff,bright res monotonic frac,bright - faint slope,best 2-200d period,2-200d period above FAL?,Haberl nearby period above FAL?,Coe nearby period above FAL?,# 2-200d peaks above FAL,best near Coe,est. skew,est. kurtosis,est. range,near est. skew,near est. kurtosis,near est. range,Coe skew,Coe kurtosis,Coe range,near Coe skew,near Coe kurtosis,near Coe range,2-200d skew,2-200d kurtosis,2-200d range,X-ray skew,X-ray kurtosis,X-ray range,exclude from color-mag,exclude OII from color-mag,V IQR,IQR V-I,stdev I,stdev V,stdev I/stdev V,median I,median V,median V-I,mean of V-I,90% I,90% V,90% V-I,75% I,75% V,75% V-I,25% I,25% V,25% V-I,10% I,10% V,10% V-I,I V-I corr,loop metric,sig stdev ratio,base num,type,number switch,stdev V-I
31,13.35,-72.454445,138.0,1.0,103.6,0.5,103.6,125.0,,,1.16293976801767,SXP 138,,,,,,,,,,,,-0.0350789314175237,-0.48812286195559900,-0.00130557140869867,-0.41047558667208900,101.057582601433,1.0,0.1999999999999990,NO,0.0141540458306203,0.015882430785151400,0.010572099436281000,-0.007193628880172710,0.3114754098360660,-0.10374579199431100,122.470060425616,yes,yes,yes,9,122.4862694152,-0.729561693585409,-0.324092692119093,0.00692397188558758,-0.926655988151774,0.136015971745199,0.008927091335081630,0.407349193279915,0.431391276173692,0.00943295438169045,-1.15181744283007,0.595375805477788,0.0120966528095394,-1.08074090556153,0.462304296341192,0.012707367190572,-0.729561693585409,-0.324092692119093,0.00692397188558758,no,no,0.06649999999999780,-0.1335000000000020,0.14025190573691000,0.06042549284753630,2.3210717716575200,16.062,16.1685,0.10650000000000000,0.11096283634386000,16.257,16.259,0.0019999999999988900,16.159,16.196750000000000,0.03774999999999910,15.959,16.13025,0.17125000000000100,15.867,16.0874,0.39199999999999900,-0.9926580142506030,0.3618818984199960,0.0842376237103414,-0.038000000000002,3,1.0,0.08942429655703240
32,14.023825,-72.3665,140.1,0.88,,,197.0,197.0,,,0.0,SXP 140,,,,,,,,,,,,0.0145885865121613,-1.60853553458515,-0.729787130842429,-0.885008747019398,185.877690200537,1.0,0.6350000000000000,NO,0.0688429286308919,0.018613056050168900,0.06067357676494070,0.2319756987032200,0.3333333333333330,-2.3854590566745100,125.021620572796,no,no,no,0,185.877690200537,-0.169874072088164,-1.01198435223479,0.011533218761226,-1.20431720543094,1.01727680190029,0.0220213068075736,-0.169874072088164,-1.01198435223479,0.011533218761226,-1.20431720543094,1.01727680190029,0.0220213068075736,-1.03472370226229,0.242550749824229,0.0200738539753882,,,,no,no,0.20200000000000000,-0.43300000000000000,0.29953886813843500,0.15741729167668000,1.902833322489500,15.728,15.885,0.15700000000000000,0.05904686701439390,16.116,16.011,-0.10500000000000000,16.058,15.974,-0.08399999999999960,15.423,15.772,0.3490000000000000,15.36,15.576,0.6510000000000000,-0.9535305675696870,1.392574662729190,0.0589259543944848,0.0180000000000007,5+6,0.0,0.11370323282330800
34,14.45975,-72.13239,152.34,1.0,,,0.0,,,,0.690086673577844,SXP 152,,,,,,,,,,,,1.7212007155517700,2.91245054870293,1.74679138226456,5.2327764523042,72.4946924373764,1.0,0.09999999999999960,NO,0.027795330831527,0.01784763253698840,0.01982166220050540,0.20925203444214900,0.3467741935483870,0.8607982305581360,72.4946924373764,yes,no,no,2,72.4946924373764,,,,0.379552921301187,-0.0160023161088962,0.0144657013131475,,,,0.379552921301187,-0.0160023161088962,0.0144657013131475,0.379552921301187,-0.0160023161088962,0.0144657013131475,,,,no,no,0.03900000000000150,-0.06099999999999820,0.0915189838984039,0.039630464164122100,2.309308907394960,15.442,15.703,0.26099999999999900,0.23954390989027400,15.59,15.739,0.1490000000000010,15.51,15.726,0.21600000000000100,15.41,15.687,0.27699999999999900,15.392,15.671,0.3470000000000010,-0.8996473434922260,0.7573691086226090,0.132911907720844,0.299,2,1.0,0.053402587092437500
35,16.930262,-71.99825,153.99,0.55,,,0.0,100.3,,,0.0,SXP 153,,,,,,,,,,,,-1.00157305608065,0.142835406094566,-1.03253309961144,-0.0356122904970406,51.390118918919600,1.0,0.23774999999999800,NO,0.196300726480926,0.08059382522845590,0.14042425866295500,0.02989503941604630,0.06896551724137930,-0.47389146234042500,51.390118918919600,yes,no,yes,8,101.069579700826,,,,0.549748704443218,-1.22674989251124,0.0303024331702346,-0.0256969268979639,-1.10730676484797,0.0268309425335289,-0.643272606084884,0.919782555515257,0.0536131232184225,0.549748704443218,-1.22674989251124,0.0303024331702346,,,,no,no,0.2185000000000060,-0.01924999999999240,0.24444782050103300,0.2426598591429970,1.0073681793286700,16.547,16.491500000000000,-0.05549999999999860,-0.0805480847433675,16.7389,16.654600000000000,-0.08429999999999890,16.619,16.555750000000000,-0.06324999999999650,16.38125,16.337250000000000,-0.044000000000004000,16.008,15.9495,0.646600000000003,-0.44719767996792300,1.0732945388429300,0.127744537023198,-0.342000000000002,3,0.0,0.045125101922337600
36,13.229781,-71.96826,169.3,0.51,68.54,0.15,68.54,68.6,,,0.0,SXP 169,,,,,,,,,,,,0.0830461458820701,-0.559589994148847,0.657991134878888,1.18963590077376,68.6449828093005,1.0,0.04899999999999950,NO,0.0177443228255474,0.012698491228512800,0.011722259745649000,0.10269468082848500,0.4,0.10662427486494400,68.6432805729167,yes,yes,yes,12,68.6449828093005,-0.926403855047868,0.341440090451109,0.0192336890634337,-1.17980954688342,1.08732705273866,0.0216065456525367,-1.46125066303508,1.6179443447037,0.0200164849347004,-1.17980954688342,1.08732705273866,0.0216065456525367,-1.18790660671824,0.994131556426698,0.0210044163491077,-0.926403855047868,0.341440090451109,0.0192336890634337,no,no,0.02900000000000170,-0.019999999999997800,0.034089280710712500,0.024681088570836000,1.3811903236307600,15.374,15.569,0.19500000000000000,0.18071791864240600,15.422,15.603,0.18099999999999900,15.399,15.585,0.18600000000000200,15.35,15.556,0.20600000000000000,15.33,15.541,0.2730000000000000,-0.5628075429487740,0.6753685191059700,0.458088409921121,0.0049999999999990100,5,0.0,0.02568248100085350
37,12.96625,-73.175835,172.0,0.87,70.42,0.15,67.88,68.8,,,0.927392555801464,SXP 172,,,,,,,,,,,,0.643525913603922,0.341967687680802,1.7808839829160700,6.568828148481870,68.5923322367331,1.0,0.13074999999999900,NO,0.0163754595746742,0.014257161693554800,0.010298970796582700,0.07997668563748260,0.3508771929824560,0.27670586357619900,22.8647831244875,yes,no,no,1,68.5923322367331,-0.556011865446772,0.397576671231731,0.00409631886328299,-0.530734266873495,0.0515519080556626,0.007220214912170060,-0.335290256445688,-0.572070341135813,0.0051347355321596,-0.530734266873495,0.0515519080556626,0.007220214912170060,-0.0952818330733728,-1.1011367991919,0.0044433368111072,0.218557197489179,-0.613534505554787,0.00443709021108774,no,no,0.02999999999999940,-0.10075000000000000,0.08095801394877850,0.021807134183604800,3.71245544082748,14.349,14.447,0.09799999999999900,0.11658818389019300,14.46,14.478,0.017999999999998900,14.401,14.468,0.06700000000000020,14.27025,14.438,0.16775000000000000,14.2559,14.432,0.2220999999999990,-0.9336360429069600,0.532911070171446,0.094534856675517,0.206000000000001,2,1.0,0.05780668871512610
38,15.467725,-72.39261,175.4,0.52,,,0.0,87.2,,,0.736404318329286,SXP 175,,,,,,,,,,,,0.534988107552819,-0.769641529234472,5.18934677123636,48.0993157273634,87.3578743071244,1.0,0.01425000000000050,NO,0.0195026830357703,0.00570034160205786,0.004625860074845850,-0.5652613058637750,0.3,-0.8165897970093580,87.3578743071244,yes,no,yes,1,87.34157317065640,,,,0.120994413575522,-1.49645143704434,0.004009269404281920,0.333134630156682,-0.687115442969302,0.00496920288558478,0.311461863861294,-1.22025065273119,0.00441246217171631,0.120994413575522,-1.49645143704434,0.004009269404281920,,,,calib,no,0.013999999999999300,-0.0002500000000011940,0.012602112168925100,0.029024595938987400,0.4341873421912900,14.805,15.01,0.20500000000000000,0.21758124493452400,14.821,15.027,0.20600000000000000,14.812250000000000,15.017,0.20475000000000100,14.798000000000000,15.003,0.20500000000000200,14.791000000000000,14.997500000000000,0.23600000000000100,-0.317108746443072,-0.18000624431950400,0.523943557342697,-0.0120000000000005,5,0.0,0.030108443642657400
39,14.837658,-72.388115,201.9,0.52,,,71.98,,,,0.282163886687714,SXP 202A,,,,,,,,,,,,1.38164419370424,1.04970593685688,1.34657100265847,0.400811991012676,72.29943208287850,1.0,0.08499999999999910,NO,0.0171236990752839,0.019016884985057200,0.012101699202988200,0.03327255328722170,0.34285714285714300,-0.05125658212175590,36.2793911775159,yes,yes,no,3,36.2793911775159,0.00331957164453158,-0.909028254483709,0.00438163321870277,0.0216712741621564,-0.800716856492565,0.00700776965953054,,,,0.234742081087153,-1.16888181896177,0.0074933861873987,0.234742081087153,-1.16888181896177,0.0074933861873987,,,,no,no,0.04224999999999920,-0.042749999999999800,0.0815012528918754,0.0538520590087274,1.5134287229141400,14.578,14.7,0.12200000000000000,0.11431808112367000,14.753,14.8204,0.06739999999999920,14.635,14.7335,0.09849999999999960,14.55,14.69125,0.14124999999999900,14.532,14.682,0.2883999999999990,-0.9643611604893420,0.42519464527911600,0.109028067002186,0.212,2,2.0,0.038773404853631700
40,14.870287,-72.6179,202.52,0.51,,,224.0,224.6,,,0.626239114952758,SXP 202B,,,,,,,,,,,,0.146557701724943,-0.190669363936915,2.04942538199584,25.9015909639966,226.94587241693300,1.0,0.05150000000000080,NO,0.0430228170907402,0.02213865030121840,0.021153962914076400,-0.05241743736216530,0.3333333333333330,-0.8092226627690180,113.640117162378,yes,no,no,5,226.94587241693300,-0.0525369309383058,-1.44199812170326,0.00489350624367368,-0.659392529611428,-0.44069608576873100,0.0142533075865448,0.0187677508326717,-1.4117977443733,0.006741847404173380,-0.659392529611428,-0.44069608576873100,0.0142533075865448,-0.21729402023456,-1.16907338704936,0.0113611886829332,,,,no,no,0.07399999999999980,0.022499999999999100,0.054399220161784000,0.07259780056296470,0.7493232541473910,15.332,15.576,0.24400000000000000,0.23624984152121900,15.4172,15.598,0.1808000000000010,15.3565,15.587,0.23049999999999900,15.305,15.513,0.20800000000000000,15.258,15.475,0.34000000000000200,-0.1328150587093620,0.41376772078960000,0.167849094806283,-0.00400000000000134,3,0.0,0.058286577238694700
41,12.546373000000000,-73.006966,214.03,0.53,,,29.91,,,,1.58148285439478,SXP 214,,,,,,,,,,,,1.04455636508259,-0.510885868174125,0.48532640922778500,-1.27723080311149,29.874226202220400,1.0,0.32400000000000000,NO,0.191650836463682,0.055934841732120200,0.07389773510395760,0.28968436672546800,0.36283185840708000,2.0965628659058200,14.9316891318891,yes,no,no,10,14.9316891318891,1.02286143552599,0.749921428239856,0.0217886291259433,0.251216150810624,-0.576105912049311,0.0200722623529526,,,,0.151894274181197,-1.36154469395567,0.0147513095446694,0.151894274181197,-1.36154469395567,0.0147513095446694,,,,no,no,0.4209999999999990,0.09699999999999950,0.20818184410753500,0.2208849806177540,0.9424898131385320,15.163,15.1905,0.027499999999999900,-0.057792598183968700,15.655,15.61,-0.04499999999999990,15.451,15.50325,0.05224999999999900,15.127,15.08225,-0.04475000000000050,15.109000000000000,15.021,0.5010000000000010,0.008207309264156900,1.117568461964020,0.102470841768305,0.527999999999999,2,1.0,0.04116127046895690
42,11.847077,-73.207756,263.0,0.5,,,49.06,49.2,,,3.54315356546568,SXP 264,,,,,,,,,,,,-0.320837655995087,0.356228722118264,2.99440419651155,11.859673536977,51.7324669542189,2.0,0.010000000000001600,YES,0.00366259234463255,0.0025572363794811500,0.0030268134276498300,0.04034588847445700,0.38095238095238100,0.1722031562335610,3.5468526677604600,no,no,no,0,51.7324669542189,0.337333587954291,0.028450571103706,0.00581072386124504,0.234517456571319,-0.605233315959519,0.00733434470498651,0.64951568453537,1.2739038506238,0.0087883304505425,0.234517456571319,-0.605233315959519,0.00733434470498651,0.36880176832251300,-0.479292964326375,0.00812201237362942,,,,no,no,0.00999999999999801,-3.5527136788005E-15,0.008348814549892990,0.010509280338359200,0.7944230509694930,16.022,16.101,0.07900000000000060,0.08173605150978120,16.0316,16.109,0.0774000000000008,16.027,16.107,0.0799999999999983,16.017,16.097,0.08000000000000190,16.011,16.093,0.09800000000000250,-0.6831273553244360,0.6042873825005760,0.894743121692767,-0.00399999999999601,6,1.0,0.013956842312012800
44,14.455669,-72.0432,280.4,0.5,64.8,0.2,64.8,127.3,,,1.17304945811952,SXP 280,,,,,,,,,,,,-0.16737658564151,-1.08648011624569,-0.344749318560835,-0.21724655911434,63.581805880194600,1.0,0.11300000000000000,NO,0.0493504149098143,0.028399100284035900,0.02608375971538550,-0.036522974763177700,0.5333333333333330,0.05580440836421500,126.86845069113500,yes,yes,yes,6,126.86812061256,-0.762328361748774,-0.575055808783883,0.00462019652414902,0.125970709117246,-1.30985321974529,0.008701484481486330,-0.986333986070963,-0.225635583130232,0.0217575283566056,-0.814365110287501,-0.770234153497623,0.0207543779320609,-0.830790154552382,-0.73682981339287,0.0207543779320609,-0.762328361748774,-0.575055808783883,0.00462019652414902,no,no,0.08300000000000020,-0.02999999999999940,0.06577033615797580,0.06304302923645510,1.0432610386041500,15.39,15.593,0.2029999999999990,0.1848226914375760,15.473000000000000,15.683700000000000,0.21069999999999900,15.449,15.63725,0.18825000000000000,15.336,15.55425,0.2182499999999990,15.294,15.5119,0.3896999999999980,-0.3307595869470500,0.7005986757165140,0.191833597876788,-0.0180000000000007,3,0.0,0.03325160941134560
45,14.553074000000000,-72.513435,291.33,0.52,151.0,1,59.77,,,,0.417096985777954,SXP 293,,,,,,,,,,,,0.251502526180646,-0.307464004453186,-0.125947632849293,-0.692345369554127,59.734587823892800,1.0,0.062000000000001200,NO,0.0224918565220165,0.01754419024790780,0.01434548130680900,0.09405940960115140,0.3235294117647060,-0.1297149183730730,59.732476325755900,yes,yes,no,7,59.732476325755900,-0.417859392264132,-1.35312273681684,0.0672486101697665,-0.458262651595782,-1.39972472416176,0.0631396203764236,,,,-0.453719069181702,-1.39925798768562,0.0639018892325183,-0.453719069181702,-1.39925798768562,0.0639018892325183,-0.0339026121422842,-0.789674464578712,0.008595274480040160,no,no,0.04499999999999990,-0.017000000000001200,0.04683437454272840,0.029054857790808100,1.6119292298703000,14.545,14.881,0.3360000000000000,0.29925383311744500,14.617,14.920800000000000,0.30380000000000100,14.579,14.898,0.31899999999999900,14.517,14.853,0.3360000000000000,14.490000000000000,14.845200000000000,0.4308000000000000,-0.8021221876899690,0.5200158428160850,0.55508889273103,0.0210000000000008,5,1.0,0.026953598002779900
46,12.700255,-73.30488,292.7,0.9,,,0.0,,,,0.697361919618457,,,,,,,,,,,,,0.873410421387265,-0.707463666439441,0.494713829755484,-1.22990855370719,127.475837404429,1.0,0.5050000000000010,NO,0.126072746883588,0.024621975114069100,0.08555571783264260,0.8791938304870770,0.45454545454545500,1.2902325352911000,127.475837404429,yes,no,no,2,127.475837404429,,,,-0.121448549202238,-1.55692294796808,0.0116894072624731,,,,-0.121448549202238,-1.55692294796808,0.0116894072624731,-0.121448549202238,-1.55692294796808,0.0116894072624731,,,,no,no,0.4175000000000000,-0.08750000000000040,0.3013052126646710,0.21363505112138800,1.410373490132330,15.109,15.339,0.23000000000000000,0.1329877593042710,15.7644,15.703,-0.06140000000000080,15.554,15.618,0.06400000000000010,15.049,15.2005,0.1515000000000000,15.0,15.180800000000000,0.7029999999999990,-0.8678520855167450,2.5521863027420600,0.05216372107832,0.651999999999999,2,0.0,0.101954926373126
47,15.261470000000000,-72.11614,304.5,1.2,,,344.0,520.0,,,0.830084458767351,SXP 304,,395.0,,,,,,,,,,-0.128624372657263,-1.01209550278523,-0.989074562458994,0.274004814514373,338.54427262178,1.0,0.010999999999999200,NO,0.009848562316565590,0.0032818067093913600,0.0029511192585146200,0.07733350163942830,0.1694915254237290,0.07228848561239760,113.763071447594,no,no,no,0,503.703863064672,0.462160198036795,0.61606910539118,0.00455003149766675,0.089083083153438,-0.995690739397097,0.0038275277064361300,-0.779305543996642,0.54576647456727,0.00403852110790126,0.42351946216852,0.251453587825206,0.00466091201915475,0.144458563041054,-0.864606150569051,0.00389205450498231,,,,calib,no,0.010125000000000400,-0.0008749999999988490,0.00887867902628557,0.008149111889309640,1.0895271959553000,15.573,15.758,0.18499999999999900,0.18501121578369600,15.583000000000000,15.768000000000000,0.1850000000000010,15.578,15.763,0.1850000000000010,15.567,15.752875,0.18587499999999900,15.562000000000000,15.749,0.2060000000000010,-0.5101415755091100,0.32334362677244900,0.78623437057238,-0.00300000000000189,6,0.0,0.009106062224336560
48,13.064167,-73.32083,305.69,1.0,,,1163.0,,,,0.0,SXP 305,,,,,,,,,,,,-1.51915337678549,1.41604336017385,-1.07006859740939,0.618508350576642,1163.94348659447,1.0,0.13100000000000000,NO,0.0225514594458392,0.011464937132592500,0.023135774155358100,0.10666983815422100,0.40476190476190500,-1.015568241603180,21.703060644951,yes,no,no,5,21.703060644951,-1.44286145527372,2.13506806700479,0.00590158734392787,-1.35521450828202,1.9844992582349,0.00580649900228991,,,,-0.511617879575815,-1.01345272385122,0.00911601285279673,-0.511617879575815,-1.01345272385122,0.00911601285279673,,,,no,no,0.05224999999999900,-0.07875000000000120,0.12397650458894800,0.05122137401081270,2.420405679917460,16.087,15.92,-0.16700000000000000,-0.09748735249270020,16.112,15.9363,-0.17569999999999900,16.099,15.927,-0.1720000000000010,15.968,15.87475,-0.09324999999999940,15.812,15.8126,0.12430000000000000,-0.9708981007790430,0.8854795195668890,0.0860236606658132,-0.498999999999999,1,0.0,0.09776986440650460
49,12.685833,-73.26806,323.2,0.6,116.6,0.6,116.6,,,,0.467101140647593,SXP 323,,,,,,,,,,,,0.19934104814691200,-0.618192718277208,11.331459548006600,133.547612048011,104.945802869206,1.0,0.06700000000000020,NO,0.0336909740551302,0.023192867143227900,0.017923288054002600,-0.003985148880353400,0.23404255319148900,-0.13900122708512200,2.44652011844216,yes,no,no,13,2.44652011844216,-0.269516926056673,-1.16695078231033,0.0074655344397847,-0.126090464632422,-0.894700213393693,0.0136488591897876,,,,0.136329269360341,-1.31057328930179,0.0523143995960158,0.136329269360341,-1.31057328930179,0.0523143995960158,-0.269516926056673,-1.16695078231033,0.0074655344397847,no,no,0.07374999999999870,0.0067499999999984800,0.04219818187223120,0.2140718354123580,0.19712159607987000,15.231,15.4255,0.19450000000000000,0.21257437866079900,15.29,15.5037,0.2137000000000010,15.263,15.467750000000000,0.20474999999999900,15.196,15.394,0.1980000000000000,15.177,15.3793,0.32670000000000100,0.11155486877389800,0.25329604765413600,0.865000308056538,0.0230000000000015,6,0.0,0.20517535027183600
50,13.21725,-72.287445,325.4,0.55,,,45.9,45.99,,,0.37582958020135600,SXP 327,,,,,,,,,,,,-0.42065887690163600,-1.39983778846714,-0.910812627934561,-0.47695638077437000,45.9358099849133,1.0,0.49049999999999700,NO,0.168789730120576,0.05131861812299430,0.048003433234047500,0.001340842104803620,0.3469387755102040,3.753171089147930,45.930620964393700,yes,yes,yes,14,45.9358099849133,-1.12733036841555,0.20405400024974,0.12665104735774,-1.11285686812175,0.241366984590812,0.131677830658479,-1.14587728603473,0.575829865686543,0.148750983160934,-1.11285686812175,0.241366984590812,0.131677830658479,-1.09559806289888,0.146738782402637,0.13284560671881,,,,no,no,0.30324999999999800,-0.1872499999999990,0.23761270166267300,0.21121192591284400,1.1249966148252600,16.652,16.6275,-0.024499999999999700,-0.06685410852173340,16.826,16.7553,-0.0707000000000022,16.76925,16.711,-0.05825000000000100,16.278750000000000,16.40775,0.12899999999999800,16.211,16.1727,0.5443000000000000,-0.3076089999036360,0.45390434078912,0.281130239174037,-0.237000000000002,6+?,0.0,0.03779956312386390
51,13.516111000000000,-72.442345,341.9,0.57,,,0.0,,,,0.61530807969217,SXP 342,,,,,,,,,,,,-0.601452443586954,-1.07492637514951,-0.696954989111435,-1.11658593012438,143.60382189137700,1.0,0.4930000000000000,NO,,0.021088058081170900,0.0604396766509501,0.33614207021223400,0.3548387096774190,-1.3588624727763300,143.60382189137700,yes,no,no,6,143.60382189137700,,,,-0.145294229384962,-1.02069601974741,0.0235538223951455,,,,-0.145294229384962,-1.02069601974741,0.0235538223951455,-0.145294229384962,-1.02069601974741,0.0235538223951455,,,,no,no,0.38500000000000200,-0.10799999999999900,0.27941029420411800,0.18735377631635800,1.4913512804370500,15.6,15.3235,-0.2765000000000000,-0.14684202296640900,15.719,15.437,-0.28200000000000000,15.689,15.416250000000000,-0.2727499999999990,15.196,15.03125,-0.16475000000000000,15.043400000000000,14.942800000000000,0.39360000000000100,-0.9672844652040790,1.491707201940640,0.0848768384249027,-0.468999999999999,+,0.0,0.118791372614358
52,15.808084,-72.154,345.2,0.9,,,94.4,93.0,,,0.0462537897178492,SXP 348,,,,,,,,,,,,-0.47493942616007,-1.42497669116439,-0.57094980937847,-1.48386285954399,100.640281279173,1.0,0.7257500000000000,NO,0.0645795298821943,0.022584173921561300,0.061092360861368000,0.49858411374730000,0.425,-0.17103664178706000,100.62012575684600,yes,yes,yes,3,100.640281279173,-0.555300676057317,0.154452932043044,0.0104242756679032,-0.061761736474705,-1.06064597543526,0.0177317098996177,-1.18672161076712,1.33568135168999,0.0187998598830017,-0.061761736474705,-1.06064597543526,0.0177317098996177,-0.0392884776400916,-1.03628197698694,0.0174437564910424,,,,no,no,0.5757499999999990,-0.15000000000000000,0.3699604288081180,0.2626095422555580,1.4087851706778100,15.398500000000000,15.33,-0.06849999999999850,-0.0806284785548873,15.643,15.4199,-0.22310000000000100,15.59,15.39425,-0.1957500000000000,14.86425,14.8185,-0.04575000000000000,14.712,14.7921,0.7079000000000000,-0.9785549907580340,1.7527623079285900,0.0578911706079465,-0.471999999999998,1+?,0.0,0.1327029746598810
53,15.336185,-72.188614,455.0,0.52,,,74.96,75.0,,,0.0229839534120399,SXP 455,,,,,,,,,,,,0.286248543364205,-1.25097439124081,0.34359659573006200,-1.2943054371076100,74.01692364344490,1.0,0.3620000000000000,NO,0.0332394143202418,0.020589481631236800,0.031293086637384700,0.2035388973576380,0.34065934065934100,0.251764523268883,74.01223261450990,yes,yes,yes,6,74.01692364344490,-1.49715340580475,1.41653059416503,0.0177545117848865,-0.790794114317112,-0.460049174178756,0.0143636925194706,-1.46071279273252,1.27226018066752,0.0183878481689828,-0.790794114317112,-0.460049174178756,0.0143636925194706,-0.761233900010638,-0.54222080744744,0.0142343460892604,,,,no,no,0.16350000000000100,-0.19849999999999900,0.20838471610448400,0.09185714537016470,2.268573830209260,15.527,15.5625,0.03550000000000080,0.028287527345572200,15.875400000000000,15.719,-0.15640000000000000,15.741,15.66075,-0.08024999999999950,15.379,15.49725,0.11825000000000000,15.317,15.4809,0.40199999999999900,-0.9742088876621260,0.8797532125402580,0.0675013473069473,0.0360000000000014,3,0.0,0.11292657625059300
54,13.733069,-72.75302,499.2,0.51,265.3,2.9,265.3,,,,0.453018502846776,SXP 504,,,,,,,,,,,,0.1049243641866,-0.744587545403418,-0.607570943034847,-0.112791005817041,238.71698439206,1.0,0.04899999999999950,NO,0.0110713141433541,0.008356608699415660,0.011463859759530500,0.3036283951600550,0.2463768115942030,-0.672694472174338,32.8001822317774,yes,no,no,2,32.8001822317774,-0.584136017785544,0.123009406165604,0.0038464993249380800,-0.167076858808549,-0.679050089398661,0.00381260080920853,,,,-0.704495801374379,-0.748718750495242,0.00406161295113527,-0.704495801374379,-0.748718750495242,0.00406161295113527,-0.584136017785544,0.123009406165604,0.0038464993249380800,no,no,0.025000000000000400,-0.023999999999999100,0.03379515414677890,0.01693277246566300,1.995842926213660,14.7645,15.012,0.2475000000000010,0.2351838222549620,14.812,15.027,0.21500000000000000,14.793,15.019,0.22600000000000100,14.744,14.994,0.25,14.721,14.9842,0.30599999999999900,-0.9237937740981870,0.7292520048803870,0.179276712455033,0.0149999999999988,3,0.0,0.043441962430892800
55,15.697975,-72.0808,522.5,0.84,,,0.0,,,,1.08255262931511,SXP 523,,,,,,,,,,,,-2.20614242053058,3.7806075539671900,-1.95525954679278,3.3371427139789400,129.51620320832,1.0,0.053999999999998500,NO,0.0271286307926153,0.019899472552900100,0.04314950358163560,0.1176430528889030,0.42105263157894700,-0.38742360243830400,129.51620320832,yes,no,no,8,129.51620320832,,,,0.283874404122766,-0.484525284448654,0.0154863897950968,,,,0.283874404122766,-0.484525284448654,0.0154863897950968,0.283874404122766,-0.484525284448654,0.0154863897950968,,,,no,no,0.049249999999998900,-0.004749999999999590,0.16862670513393700,0.08029740848947100,2.100026741909720,16.202,15.956,-0.24600000000000200,-0.20889260218948500,16.244,15.9793,-0.2647000000000000,16.232,15.966,-0.266,16.178,15.91675,-0.2612500000000000,15.858,15.8244,0.12130000000000000,-0.9784986197610510,1.102980988950370,0.0915907606057883,-0.572000000000005,1,0.0,0.09441102836082010
56,14.400833000000000,-72.32611,565.0,0.7,151.8,1,151.0,152.4,,,0.667688423767984,SXP 565,,,,,,,,,,,,0.054376335410497900,0.605789257334999,-0.0132557531850758,-0.145211025316055,153.623295211726,1.0,0.03599999999999960,NO,0.0164743775698969,0.01102139273620070,0.01104380969476730,-0.002111145650231070,0.32038834951456300,-0.037078916580367200,81.20414939387570,yes,no,no,9,153.623295211726,0.445047024129556,-0.40271668432906,0.00439068280717159,0.279795886406597,-0.862872312723193,0.0107986353446385,-0.649228718046766,-0.168052050143888,0.0140251842928425,0.279795886406597,-0.862872312723193,0.0107986353446385,0.211714310059414,-1.18238938361657,0.0143152713994681,-0.274165013589322,0.351550670246585,0.0114837070951221,no,no,0.04550000000000050,0.009500000000000950,0.025057228199954100,0.04143523063444500,0.6047324418444090,15.797,16.03,0.23300000000000100,0.2377589621068010,15.834,16.0882,0.25420000000000100,15.817,16.049500000000000,0.2325000000000020,15.781,16.004,0.22300000000000100,15.767,15.9726,0.32120000000000100,-0.13487099077743600,0.4641331976435110,0.670377564984158,0.009999999999998010,5,1.0,0.03880897305554320
57,13.897454,-72.485176,644.6,0.53,,,0.0,,,,0.819180763860744,SXP 645,,,,,,,,,,,,1.97255179682404,4.25200588791564,0.575697132182703,-0.92910229761456,70.9614794414155,1.0,0.16300000000000000,NO,0.0637777560138725,0.04571418938843730,0.0326310198156156,0.10761215234792000,0.4,0.12715458309409700,70.9614794414155,yes,no,no,2,70.9614794414155,,,,-0.0556923139689994,-0.654486987283284,0.00713841426617812,,,,-0.0556923139689994,-0.654486987283284,0.00713841426617812,-0.0556923139689994,-0.654486987283284,0.00713841426617812,,,,no,no,0.10375000000000000,-0.05925000000000050,0.17340324912036100,0.07935137696121620,2.1852582243798100,14.611,14.7275,0.1164999999999990,0.10918992700128900,14.8372,14.878,0.040800000000000800,14.724500000000000,14.78675,0.06225000000000060,14.561500000000000,14.683,0.12150000000000100,14.5128,14.658000000000000,0.36520000000000000,-0.6687374569794300,0.49011220851091100,0.05473473004373950,0.596999999999998,2,3.0,0.0529278050419216
