src_n,Porb,RA_OGLE,DEC_OGLE,OII I,OII V,OIII I,OIII V,OIV I,OIV V
53,74.96,01:01:20.66,-72:11:19.1,smc_list/OGLE-II/I/smc_sc9.89374.dat,smc_list/OGLE-II/V/smc_sc9.89374.dat,smc_list/OGLE-III/I/smc108.2.53351.dat,smc_list/OGLE-III/V/smc108.2.53333.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.15.42.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.15.55.dat
54,265.3,00:54:55.88,-72:45:10.8,smc_list/OGLE-II/I/smc_sc7.47103.dat,smc_list/OGLE-II/V/smc_sc7.47103.dat,smc_list/OGLE-III/I/smc105.7.34184.dat,smc_list/OGLE-III/V/smc105.7.55684.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.10.139.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.10.19.dat
55,,01:02:47.58,-72:04:51.4,smc_list/OGLE-II/I/smc_sc9.175389.dat,smc_list/OGLE-II/V/smc_sc9.175389.dat,smc_list/OGLE-III/I/smc113.6.27948.dat,smc_list/OGLE-III/V/smc113.6.7081.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.14.375.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.14.202.dat
56,151.0,00:57:36.01,-72:19:34.1,smc_list/OGLE-II/I/smc_sc8.49531.dat,smc_list/OGLE-II/V/smc_sc8.49531.dat,smc_list/OGLE-III/I/smc108.1.27992.dat,smc_list/OGLE-III/V/smc108.1.30995.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.18.27563.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.18.40937.dat
57,,00:55:35.15,-72:29:06.6,smc_list/OGLE-II/I/smc_sc7.137527.dat,smc_list/OGLE-II/V/smc_sc7.137527.dat,smc_list/OGLE-III/I/smc105.5.31235.dat,smc_list/OGLE-III/V/smc105.5.51547.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.19.125.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.19.37.dat
58,412.0,00:55:18.44,-72:38:51.9,smc_list/OGLE-II/I/smc_sc7.129062.dat,smc_list/OGLE-II/V/smc_sc7.129062.dat,smc_list/OGLE-III/I/smc105.6.33072.dat,smc_list/OGLE-III/V/smc105.6.52936.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.10.33543.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.10.47693.dat
59,,01:05:55.25,-72:03:50.6,smc_list/OGLE-II/I/smc_sc10.137851.dat,smc_list/OGLE-II/V/smc_sc10.137851.dat,smc_list/OGLE-III/I/smc113.3.13361.dat,smc_list/OGLE-III/V/smc113.3.18186.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.12.86.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.12.55.dat
60,390.0,00:49:42.00,-73:23:14.6,smc_list/OGLE-II/I/smc_sc5.90506.dat,smc_list/OGLE-II/V/smc_sc5.90506.dat,smc_list/OGLE-III/I/smc100.8.22235.dat,smc_list/OGLE-III/V/smc100.8.30184.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.17.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.28.dat
62,101.94,01:02:06.67,-71:41:16.2,,,smc_list/OGLE-III/I/smc114.7.25.dat,smc_list/OGLE-III/V/smc114.7.9.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.23.10589.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.23.23702.dat
63,,01:27:45.96,-73:32:56.4,,,,,smc_list/OGLE-IV/I/CALIBRATED/smc738.07.1966.dat,smc_list/OGLE-IV/V/CALIBRATED/smc738.07.2975.dat
64,,01:03:37.54,-72:01:33.2,smc_list/OGLE-II/I/smc_sc10.37138.dat,smc_list/OGLE-II/V/smc_sc10.37138.dat,smc_list/OGLE-III/I/smc113.6.33350.dat,smc_list/OGLE-III/V/smc113.6.41318.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.14.19468.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.14.33246.dat
65,,00:54:46.37,-72:25:22.8,smc_list/OGLE-II/I/smc_sc7.70843.dat,smc_list/OGLE-II/V/smc_sc7.70843.dat,smc_list/OGLE-III/I/smc108.8.8650.dat,smc_list/OGLE-III/V/smc108.8.10322.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.19.181.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.19.150.dat
125,36.41,01:01:55.80,-72:32:36.4,smc_list/OGLE-II/I/smc_sc9.114259.dat,smc_list/OGLE-II/V/smc_sc9.114259.dat,smc_list/OGLE-III/I/smc110.5.6.dat,smc_list/OGLE-III/V/smc110.5.7.dat,smc_list/OGLE-IV/I/CALIBRATED/smc726.30.25187.dat,smc_list/OGLE-IV/V/CALIBRATED/smc726.30.38048.dat
142,119.8,01:23:27.42,-73:21:22.3,,,smc_list/OGLE-III/I/smc121.2.50.dat,smc_list/OGLE-III/V/smc121.2.18.dat,smc_list/OGLE-IV/I/CALIBRATED/smc733.26.24.dat,smc_list/OGLE-IV/V/CALIBRATED/smc733.26.13.dat
